Transcription factor,ensembl_id,UniProt AC,pwm_id,SEM,baseline,cell_type,chip_ENCODE_accession,dnase_ENCODE_accession
FEZF1,ENSG00000128610,A0PJY2,FEZF1_HUMAN.H11MO.0.C,FEZF1_HUMAN.HEK293.sem,0.432689532,HEK293,ENCFF137IZJ,ENCFF285OXK
FOSL1,ENSG00000175592,P15407,FOSL1_HUMAN.H11MO.0.A,FOSL1_HUMAN.HepG2.sem,0.298482074,HepG2,ENCFF560JDF,ENCFF897NME
FOSL1,ENSG00000175592,P15407,FOSL1_HUMAN.H11MO.0.A,FOSL1_HUMAN.K562.sem,0.214160494,K562,ENCFF970NEI,ENCFF274YGF
FOSL2,ENSG00000075426,P15408,FOSL2_HUMAN.H11MO.0.A,FOSL2_HUMAN.A549.sem,0.33000568,A549,ENCFF910JVM,ENCFF128ZVL
FOSL2,ENSG00000075426,P15408,FOSL2_HUMAN.H11MO.0.A,FOSL2_HUMAN.HepG2.sem,0.32672339,HepG2,ENCFF680AIL,ENCFF897NME
FOSL2,ENSG00000075426,P15408,FOSL2_HUMAN.H11MO.0.A,FOSL2_HUMAN.MCF-7.sem,0.315913553,MCF-7,ENCFF752SXD,ENCFF835KCG
FOS,ENSG00000170345,P01100,FOS_HUMAN.H11MO.0.A,FOS_HUMAN.IMR-90.sem,0.458642381,IMR-90,ENCFF516QHD,ENCFF800DVI
FOS,ENSG00000170345,P01100,FOS_HUMAN.H11MO.0.A,FOS_HUMAN.MCF-7.sem,0.219427011,MCF-7,ENCFF327LTA,ENCFF835KCG
FOXA1,ENSG00000129514,P55317,FOXA1_HUMAN.H11MO.0.A,FOXA1_HUMAN.HepG2.sem,0.432802726,HepG2,ENCFF943NCT,ENCFF897NME
FOXA1,ENSG00000129514,P55317,FOXA1_HUMAN.H11MO.0.A,FOXA1_HUMAN.MCF-7.sem,0.37424452,MCF-7,ENCFF512UGW,ENCFF835KCG
FOXA2,ENSG00000125798,Q9Y261,FOXA2_HUMAN.H11MO.0.A,FOXA2_HUMAN.HepG2.sem,0.518322519,HepG2,ENCFF112HWT,ENCFF897NME
FOXA2,ENSG00000125798,Q9Y261,FOXA2_HUMAN.H11MO.0.A,FOXA2_HUMAN.liver.sem,0.226631238,liver,ENCFF037NAU,ENCFF933OGA
FOXA3,ENSG00000170608,P55318,FOXA3_HUMAN.H11MO.0.B,FOXA3_HUMAN.HepG2.sem,0.514835813,HepG2,ENCFF781OLA,ENCFF897NME
